data,lançamento,coluna_sem_nome_3,valor,data_2,valor_ext,nome_arquivo,data_base
10/05/2024,Dl*google Google,,38.99,credito_2024_06.xls,01/06/2024
12/05/2024,Amazon Prime Canais,,16.9,credito_2024_06.xls,01/06/2024
14/05/2024,Iof Compra Internaciona,,1.31,credito_2024_06.xls,01/06/2024
16/05/2024,Netflix.com,,68.8,credito_2024_06.xls,01/06/2024
19/05/2024,Produtos Globo,,54.9,credito_2024_06.xls,01/06/2024
22/05/2024,Catho             01/03,,79.9,credito_2024_06.xls,01/06/2024
23/05/2024,Seg Cartao Protegido,,14.9,credito_2024_06.xls,01/06/2024
24/05/2024,Amazon Prime Canais,,34.9,credito_2024_06.xls,01/06/2024
24/05/2024,Disney Plus,,33.9,credito_2024_06.xls,01/06/2024
31/05/2024,Catho,,-239.7,credito_2024_06.xls,01/06/2024
01/06/2024,Google Cloud 7hxwtw,,71.46,credito_2024_06.xls,01/06/2024
02/06/2024,Aws Brazil,,17.76,credito_2024_06.xls,01/06/2024
05/06/2024,Amazonprimebr,,19.9,credito_2024_06.xls,01/06/2024
12/05/2024,Scribd *589796495,,29.76,credito_2024_06.xls,01/06/2024
24/06/2024,Dm*spotify,,21.9,credito_2024_07.xls,01/07/2024
16/02/2024,Centro Formador Cr05/06,,191.7,credito_2024_07.xls,01/07/2024
09/03/2024,Localiza          04/06,,42.8,credito_2024_07.xls,01/07/2024
13/03/2024,Aluguel Localiza  04/06,,200.74,credito_2024_07.xls,01/07/2024
13/03/2024,Unidas Locadora Sa04/09,,102.34,credito_2024_07.xls,01/07/2024
22/05/2024,Catho             02/03,,79.9,credito_2024_07.xls,01/07/2024
10/06/2024,Dl*google Google,,38.99,credito_2024_07.xls,01/07/2024
14/06/2024,Iof Compra Internaciona,,1.31,credito_2024_07.xls,01/07/2024
16/06/2024,Netflix.com,,68.8,credito_2024_07.xls,01/07/2024
25/06/2024,Seg Cartao Protegido,,14.9,credito_2024_07.xls,01/07/2024
01/07/2024,Google Cloud R6tpl7,,42.76,credito_2024_07.xls,01/07/2024
02/07/2024,Aws Brazil,,18.64,credito_2024_07.xls,01/07/2024
05/07/2024,Amazonprimebr,,19.9,credito_2024_07.xls,01/07/2024
12/06/2024,Scribd *589796495,,29.93,credito_2024_07.xls,01/07/2024
24/07/2024,Dm          *spotify,,21.9,credito_2024_08.xls,01/08/2024
16/02/2024,Centro Formador Cr06/06,,191.7,credito_2024_08.xls,01/08/2024
09/03/2024,Localiza          05/06,,42.8,credito_2024_08.xls,01/08/2024
13/03/2024,Aluguel Localiza  05/06,,200.74,credito_2024_08.xls,01/08/2024
13/03/2024,Unidas Locadora Sa05/09,,102.34,credito_2024_08.xls,01/08/2024
22/05/2024,Catho             03/03,,79.9,credito_2024_08.xls,01/08/2024
10/07/2024,Dl*google Google,,38.99,credito_2024_08.xls,01/08/2024
14/07/2024,Iof Compra Internaciona,,1.33,credito_2024_08.xls,01/08/2024
16/07/2024,Netflix.com,,72.8,credito_2024_08.xls,01/08/2024
29/07/2024,Seg Cartao Protegido,,14.9,credito_2024_08.xls,01/08/2024
01/08/2024,Dl     *google Cloud 3,,46.83,credito_2024_08.xls,01/08/2024
