dt_credito,descricao,valor_credito,data_base
2026-02-20,TOKIO MARINE*AUTOSAO PAULOBR,235.45,2026-03-01
2026-02-18,PAGAMENTO COM SALDO,-4159.45,2026-03-01
2026-02-17,HIP.BERGAMINI LJ 2SAO PAULOBR,356.54,2026-03-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-03-01
2026-02-10,DL*GOOGLE YouTubSAO PAULOBR,26.9,2026-03-01
2026-01-23,ATACADAO 060 ASSAO PAULOBR,132.27,2026-03-01
2026-01-17,TRIMAIS IISAO PAULOBR,150.07,2026-03-01
2025-12-31,ATACADAOSAO PAULOBR,126.54,2026-03-01
2025-12-31,LOCALIZA RAC ACTAT1SAO PAULOBR,385.9,2026-03-01
2025-12-30,DROGARIA SAO PAULO 194SAO PAULOBR,99.02,2026-03-01
2025-12-29,Turbi FechamentoSao PauloBR,103.8,2026-03-01
2025-12-27,TurbiSao PauloBR,111.01,2026-03-01
2025-12-24,RW NEGOCIOS COMERCIAISGUARULHOSBR,133.0,2026-03-01
2025-12-24,LOJAS AMERICANAS 256GUARULHOSBR,83.38,2026-03-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36,2026-03-01
2025-12-24,CENTAURO CE187GUARULHOSBR,59.99,2026-03-01
2025-12-22,TurbiSao PauloBR,187.02,2026-03-01
2025-12-18,DROGARIA SAO PAULO 194SAO PAULOBR,121.16,2026-03-01
2025-12-17,DROGASIL3462SAO PAULOBR,73.74,2026-03-01
2025-12-06,MP*BMUTILIDADESSO PAULOBR,185.0,2026-03-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-03-01
2025-11-13,LocalizaBelo HorizontBR,171.51,2026-03-01
2025-10-27,GMP COMERCIO DE ROUPASGUARULHOSBR,101.65,2026-03-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-03-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-03-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-04-01
2026-01-23,ATACADAO 060 ASSAO PAULOBR,132.27,2026-04-01
2025-12-31,LOCALIZA RAC ACTAT1SAO PAULOBR,385.9,2026-04-01
2025-12-29,Turbi FechamentoSao PauloBR,103.8,2026-04-01
2025-12-27,TurbiSao PauloBR,111.01,2026-04-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36,2026-04-01
2025-12-24,CENTAURO CE187GUARULHOSBR,59.99,2026-04-01
2025-12-22,TurbiSao PauloBR,187.02,2026-04-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-04-01
2025-10-27,GMP COMERCIO DE ROUPASGUARULHOSBR,101.65,2026-04-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-04-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-04-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-05-01
2025-12-29,Turbi FechamentoSao PauloBR,103.8,2026-05-01
2025-12-27,TurbiSao PauloBR,111.01,2026-05-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36,2026-05-01
2025-12-24,CENTAURO CE187GUARULHOSBR,59.99,2026-05-01
2025-12-22,TurbiSao PauloBR,187.02,2026-05-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-05-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-05-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-05-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-06-01
2025-12-29,Turbi FechamentoSao PauloBR,103.8,2026-06-01
2025-12-27,TurbiSao PauloBR,111.01,2026-06-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36,2026-06-01
2025-12-22,TurbiSao PauloBR,187.02,2026-06-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-06-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-06-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-06-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-07-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-07-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-07-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-07-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-08-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-08-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-08-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-08-01
