"de_para";"valor"
"Submarino Mktplace01/02";"Submarino"
"Submarino Mktplace";"Submarino"
"Bazar Hirata";"Bazar"
"Pag*wklbombo-ct E";"wklbombo"
"Americanas Marketp01/02";"Americanas"
"Lojas Renner Fl 4903/03";"Lojas"
"Lojao Do Bras     03/04";"Lojao"
"Submarino Mktplace03/03";"Submarino"
"Torra Torra       03/03";"Torra"
"Rmsjoias Eireli   02/02";"Rmsjoias"
"Microsoft*store";"Microsoft"
"Pinhal Conveniencia";"Pinhal"
"Riachuelo 100     01/02";"Riachuelo"
"Zuquim Plaza Hotel Ltd";"Zuquim"
"Sodimac";"Sodimac"
"Centro Automotivo Treb";"Centro"
"Ebanx       *spotify";"Ebanx"
"B.s. Moda E Esporte L";"B"
"Magalu*listasmagal01/02";"Magalu"
"Academia Corpo E M06/06";"Academia"
"Olibone Pneus     05/05";"Olibone"
"Magalu*listasmagal02/02";"Magalu"
"Pag*julianacristina";"julianacristina"
"Estancia Da Picanha";"Estancia"
"Churrascaria-ct Bosque";"Churrascaria"
"Rede J Amaral Auto Pos";"Rede"
"Mp *rm";"Mp"
"Aai    *aai*ipiranga";"Aai"
"Parc=112gol Qnlrrg12/12";"Parc"
"Parc=104americanas.com";"Parc"
"Armarinhos Fernand02/02";"Armarinhos"
"Diego Gabriel Martins";"Diego"
"Magic Games Empreendim";"Magic"
"Sumup*michelle Perf";"Sumup"
"Lojas Renner Fl 4901/03";"Lojas"
"Emporio Zucchini";"Emporio"
"Brooksfield-bfcn-f01/03";"Brooksfield"
"Banca Do Pacheco";"Banca"
"Cea Scn 160       01/03";"Cea"
"Prego C Norte 140 01/02";"Prego"
"Lojas Americanas 0915";"Lojas"
"Microsoft*suz419daoemre";"Microsoft"
"Emporio Auriun";"Emporio"
"Confeccoes Caedu";"Confeccoes"
"Dl*googlegooglep";"Dl"
"Pag*pgsalcultural";"pgsalcultural"
"Espaco Curumim Kids";"Espaco"
"Ame Digital       01/02";"Ame"
"Acai Nova Bar";"Acai"
"Kalunga Shop-ct  T01/02";"Kalunga"
"Americanas  *amer 01/02";"Americanas"
"Armarinhos Fernand01/02";"Armarinhos"
"Andorinha Hiper";"Andorinha"
"Parc=104americanas03/04";"Parc"
"Prego C Norte 140 02/02";"Prego"
"Du Morbaii";"Du"
"Google Play";"Google"
"Osto De Servicos Flors";"Osto"
"Armarinhos Fernand01/03";"Armarinhos"
"Acom Mkt Place    01/03";"Acom"
"Ame Digital       02/02";"Ame"
"Kalunga Shop-ct  T02/02";"Kalunga"
"Americanas  *amer 02/02";"Americanas"
"Kalunga Nova Cantareir";"Kalunga"
"Bd";"Bd"
"Top 25 Bijuteria Ltda";"Top"
"Mundo Encant-ct";"Mundo"
"Cpq - Pq. Ib-ct Uera";"Cpq"
"Altitude Moe-ct";"Altitude"
"Bandeirantes";"Bandeirantes"
"Av Guapira";"Av"
"Eco Lavare";"Eco"
"M. Alexandrino Ltda";"M"
"Habibs      -ct";"Habibs"
"Filial Drive-ct Ont Vi";"Filial"
"Habib S";"Habib"
"Casa Grande Convenienc";"Casa"
"Parc=104americanas04/04";"Parc"
"Armarinhos Fernand02/03";"Armarinhos"
"Acom Mkt Place";"Acom"
"Lojao Do Bras     01/04";"Lojao"
"Trattoria Do Guappo";"Trattoria"
"Fhf Informatica Eireli";"Fhf"
"Submarino Mktplace01/03";"Submarino"
"Parc=102submarino.01/02";"Parc"
"Michelle Perfumes";"Michelle"
"Parc=103kalunga.co03/03";"Parc"
"Parc=102americanas.com";"Parc"
"Americanas Marketp02/02";"Americanas"
"Rmsjoias Eireli   01/02";"Rmsjoias"
"Conectcar Recargaapp";"Conectcar"
"Cia Maritima";"Cia"
"Shopping Center Norte";"Shopping"
"Eng Caetano Alvares";"Eng"
"Pag*frigotti";"frigotti"
"Ragazzo";"Ragazzo"
"Pag*patriciapinheirof";"patriciapinheirof"
"Pag*elciomario";"elciomario"
"Playland - Eldorado";"Playland"
"Cb Conceito Jk Comerci";"Cb"
"Pag*eldorado";"eldorado"
"Ponto Amakha Paris Lau";"Ponto"
"Google Storage";"Google"
"Cinemark Brasil";"Cinemark"
"Shopping Tucuruvi";"Shopping"
"Parc=112dieta E Sa09/12";"Parc"
"Academia Corpo E M05/06";"Academia"
"Lojao Do Bras     04/04";"Lojao"
"Olibone Pneus     04/05";"Olibone"
"Leandro Santos 3435675";"Leandro"
"Pag*wagnerca-ct Odos";"wagnerca"
"Sueli Maria Da Silva";"Sueli"
"Nilmar Guimaraes";"Nilmar"
"Clube De Campo Associ";"Clube"
"Pag*eduardoj-ct N";"eduardoj"
"Isabel Brito";"Isabel"
"Anderson Festas";"Anderson"
"Microsoft_subscription";"Microsoft_subscription"
"Pag*phoenix";"phoenix"
"Loucademia D-ct Rveja";"Loucademia"
