"de_para";"valor"
"Kalunga V. Guilher01/02";"kalunga"
"Pag*pizzaria-ct Mundo";"alimentacao"
"Pag*realnovomundo";"padaria"
"Happy Kids";"roupa"
"Panetteria Novo Mundo";"alimentacao"
"Pag*djmvariedades";"comercio"
"Pag*padariac-ct Osa";"padaria"
"Aliado 2";"comercio"
"Franclau Comercio De";"comercio"
"Iof De Financiamento";"banco"
"Pag*pizzarianovomundo";"pizzaria"
"Amazon Marketplace01/02";"app-amazon"
"Pag*julianelimade";"pessoa"
"Mercadopago*espacoceara";"comercio"
"Paleteria Paulista Ltd";"alimentacao"
"Quitanda E M-ct Aria Pr";"comercio"
"Drogaria Vera Cruz01/03";"farmacia"
"Pag*allandiasdos";"pessoa"
"Encargos De Atraso";"comercio"
"Juros De Mora";"banco"
"Multa Por Atraso";"juros"
"Juros De Financiamento";"juros"
"King Star Colchoes09/10";"colchï¿½o"
"Outlet Vila Maria 04/06";"roupa"
"Max Fama Modeling 04/12";"moda"
"Ame*americanascom 03/03";"americanas"
"Brands            03/04";"comercio"
"Vent Vert Cn      03/06";"Vent Vert"
"Hna*oboticario    03/04";"boticario"
"Roberto Vidal Card03/03";"pessoa"
"Raia 47";"farmacia"
"Raia 47           02/03";"farmacia"
"Kalunga V. Guilher02/02";"kalunga"
"Amazon Marketplace02/02";"app-amazon"
"Amazon Marketplace";"app-amazon"
"Drogaria Vera Cruz";"farmacia"
"Drogaria Vera Cruz02/03";"farmacia"
"Jose Da Silva Carvalh";"pessoa"
"Lamour Cafe Prime Ltda";"alimentacao"
"Estapar*zad*sao*paulo";"estacionamento"
"Amazon.com.br Digital P";"app-amazon"
"Rei Do Oleo       01/03";"troca_oleo"
"Estancia Caipira Sp";"alimentacao"
"Localiza Rac Actie01/02";"locadora-localiza"
"Sapeka Kids";"roupa"
"3713 - Grsa Gr Pao De";"comercio"
"Auto Posto B-ct L";"posto"
"Localiza Rac Actie0";"locadora-localiza"
"Pag*xpressfoodbox";"alimentacao"
"Bruno Podero-ct Guila";"pessoa"
"Tokio Marine*auto12d12";"seguro"
"King Star Colchoes10/10";"colchao"
"Delight     -ct";"comercio"
"Rita De Sous-ct O De";"pessoa"
"Real Brasil Esportes";"escola_futebol"
"Canaa Lancho-ct  E Cas";"comercio"
"Frigomundo C-ct Cio De";"alimentacao"
"Magia Comercio Embalage";"comercio"
"Galpao Gaucho";"alimentacao"
"Rbm Supermercado Ltda";"mercado"
"Y Model           01/03";"comercio"
"Mbz Games   -ct";"comercio"
"Fc Empreendi-ct Os";"comercio"
"Espaco Livre-ct I";"comercio"
"Tatuape";"comercio"
"Zp          *sympl01/03";"ingresso"
"Pag*gueldoces";"comercio"
"Patati Patat-ct Rco Sho";"lazer"
"Sympla *igor Farias At";"comercio"
"Chiquinho So-ct Es";"sorvete"
"Sezefredo Fagundes";"comercio"
"Trupi Danubi-ct Ul";"comercio"
"Zagaia Eco-r*zaga  (06/06)";"hotel"
"Bagaggio She-ct Agg(05/10)";"mala_viagem"
"Aluguel            (05/06)";"locadora-localiza"
"Outlet Vila Maria 05/06";"roupa"
"Max Fama Modeling 05/12";"moda"
"Brands            04/04";"comercio"
"Hna*oboticario    04/04";"boticario"
"Vent Vert Cn      04/06";"Vent Vert"
"Raia 47           03/03";"farmacia"
"Drogaria Vera Cruz03/03";"farmacia"
"Rei Do Oleo       02/03";"troca_oleo"
"Localiza Rac Actie02/02";"locadora-localiza"
"Y Model           02/03";"comercio"
"Zp          *sympl02/03";"comercio"
"Centro Automotivo Pet";"comercioa"
"Mp*sushivilmaria";"comercio"
"Pag*pastelda-ct";"alimentacao"
"Marcelo Naok-ct Yan";"comercio"
"Chefinhos Pastelaria";"alimentacao"
"Carrefour Sp-ct";"mercado"
"Bp Crf Tiete-ct";"comercio"
"Netpark";"comercio"
"Pag*dlyrioco-ct Coes";"comercio"
"Kalunga Tatu-ct";"kalunga"
"Axe Brasil";"comercio"
"Roasted Pota-ct  Suco";"comercio"
"Bella Italia";"comercio"
"R9 Parque Nov     01/03";"escola_futebol"
"Ryma Mini Mercado E Pa";"comercio"
"Center Carnes Universa";"alimentacao"
"SABESP      3082129325";"sabesp"
"ELECTRONRS AVILA";"mercado"
"ELECTRONREAL BRASIL";"escola_futebol"
"ELECTRONSUPERMERCAD";"mercado"
"ELECTRONPADARIA DEL";"padaria"
"ELECTRONPAG*Rosilen";"feira-alho"
"ELECTRONPONTO DA ES";"alimentacao"
"ELECTRONPAG*OrielPe";"feira-frutas"
"ELECTRONBABANAS VIT";"feira-frutas"
"ELECTRONPG *TON FEI";"feira-legumes"
"ELECTRONPAG*CassioA";"feira-tapioca"
"ELECTRONPAG*Robinso";"feira-frango"
"ELECTRONPAG*CarlosD";"feira"
"ELECTRONBANCA DA MI";"comercio"
"DA  CLARO MOVEL 46827963";"claro"
"DA  CLARO MOVEL 46827990";"claro"
"Max Fama Modeling  (12/12)";"moda"
"Zagaia Eco-r*zaga  (05/06)";"hotel"
"Mp *klmcentr-ct O  (04/04)";"comercio"
"Aluguel            (04/06)";"locadora-localiza"
"Bagaggio She-ct Agg(04/10)";"mala_viagem"
"Chute Inicial Corin(04/04)";"escola_futebol"
"Crisval Agencia De (04/04)";"passeio_viagem"
"TAR PACOTE ITAU   JUL/23";"banco"
"IOF";"Taxa_banco"
"MOBILEPAG TIT BANCO 237";"boleto"
"ELECTRONMAGAZINE DO";"comercio"
"PIX TRANSF  LUCIANO04/08";"alimentacao"
"ELECTRONROSE FEIRAN";"feira-frutas"
"CXE     004499 SAQUE";"saque"
"CXE 002162 SAQUE 05/08";"saque"
"ELECTRONFRIGOMUNDO";"mercado-acougue"
"ELECTRONHIP BERGAMI";"mercado"
"ELECTRONPAG*Padaria";"padaria"
"PIX TRANSF  Matheus06/08";"feijoada"
"ELECTRONORIEL PEREI";"feira-frutas"
"PIX TRANSF  erlonds09/08";"cabeleireiro"
"SEGURO CARTAO";"banco"
"ELECTRONPANETTERIA";"padaria"
"PIX TRANSF  FGR COM11/08";"pix"
"DEB AUTOR UNICEF";"ajuda"
"ELECTRONATACADAO 06";"mercado"
"PIX QRS ORION INSTI12/08";"roupa"
"ELECTRONPAG*SANDROC";"feira"
"INT ITAU VISA";"cartao"
"ELECTRONVALDENICIO";"pessoa"
"ELECTRONPAG*Antonie";"feira-pano"
"ELECTRONPAG*pasteld";"alimentacao"
"ELECTRONMARCELO NAO";"comercio"
"ELECTRONPAG*ALLANDI";"comercio"
"PIX TRANSF  IMW 3 R16/08";"igreja"
"PIX TRANSF  LUCIANO16/08";"alimentacao"
"DA  ELETROPAULO 11701161";"luz"
"ELECTRONPAG*GuelDoc";"comercio"
"ELECTRONPAG*Pizzari";"alimentacao"
"PIX TRANSF  LUCIANO18/08";"alimentacao"
"DA  NET SERVICOS 5680788";"net"
"PIX TRANSF  Matheus19/08";"feijoada"
"ELECTRONPAG*Rodrigo";"feira-ovos"
"ELECTRONPAG*VictorH";"alimentacao"
"ELECTRONROTISSERIE";"alimentacao"
"ELECTRONPAG*JoseAdr";"feira-frutas"
"ELECTRONPAG*Misslei";"feira-legumes"
"ELECTRONPERTO SA";"transporte_pub"
"ELECTRON001";"comercio"
"PIX TRANSF  FGR COM22/08";"pix"
"DA  COMGAS 51448254";"gas"
"FINANC IMOBILIARIO   017";"financiamento"
"ELECTRONDROGARIA SA";"farmacia"
"ELECTRONGALPAO GAUC";"alimentacao"
"PIX TRANSF  LUCIANO31/08";"alimentacao"
"INT  PAG TIT BANCO 237";"boleto"
"ELECTRONMINI EXTRA";"mercado"
"CXE 000653 SAQUE 08/04";"saque"
"PIX TRANSF  LUCIANO11/04";"pessoa"
"ELECTRONARLINDO VAL";"pessoa"
"PIX TRANSF  ABILIO 12/04";"pessoa"
"PIX TRANSF  LUCIANO12/04";"pessoa"
"PIX TRANSF  ROGERIO12/04";"pipoca"
"CXE     000406 SAQUE";"saque"
"doce";"alimentacao"
"PIX TRANSF  LUCIANO17/04";"pessoa"
"ELECTRONPAG*Robinso";"feira-frango"
"ELECTRONCALDO MANAB";"alimentacao"
"ELECTRONANTONIO CHI";"feira-pastel"
"PIX QRS PORTOSEG SA17/04";"seguro"
"ELECTRONARENA F V G";"futebol"
"PIX TRANSF  Michele17/04";"pessoa"
"PIX TRANSF  ROGERIO19/04";"pipoca"
"APM - Creche Eloha";"creche"
"FINANC IMOBILIARIO   013";"financiamento"
"PIX TRANSF  Monica 21/04";"pessoa"
"PIX TRANSF  LUCIANO25/04";"pessoa"
"PIX TRANSF  JULIANE25/04";"pessoa"
"PIX TRANSF  REAL BR26/04";"escola_futebol"
"PIX TRANSF  REAL BR11/11";"escola_futebol"
"PIX TRANSF  REAL BR16/10";"futebol_amigos"
"PIX TRANSF  ANDRE N27/04";"transferencia"
"PIX TRANSF  ANDRE N28/04";"transferencia"
"PIX TRANSF  ANDRE N30/11";"transferencia"
"PIX TRANSF  ROGERIO27/04";"pipoca"
"PIX TRANSF  Bruno C28/04";"pessoa"
"PIX TRANSF  TAMINIE28/04";"pessoa"
"estacionamento";"estacionamento"
"TAR PACOTE ITAU   ABR/23";"banco"
"PIX TRANSF  IMW 3 R04/05";"igreja"
"JUROS LIMITE DA CONTA";"juros"
"ELECTRONPAG*Rodrigo";"feira"
"ELECTRONBANANAS CLI";"alimentacao"
"PIX TRANSF  erlonds09/05";"cabeleireiro"
"PIX TRANSF  LUCIANO09/05";"futebol"
"PIX TRANSF  ROGERIO09/05";"pipoca"
"PIX TRANSF  IMW 3 R11/05";"igreja"
"PIX TRANSF  LUCIANO12/05";"alimentacao"
"PIX TRANSF  LUCIANO13/05";"alimentacao"
"ELECTRONPAG*LUCASVI";"feira-frutas"
"ELECTRONPAG*Robinso";"feira"
"PIX TRANSF  REAL BR15/05";"escola_futebol"
"ELECTRONMP*MANOEL";"feira"
"ELECTRONCLEVENICE F";"consumo"
"ELECTRONPAG*Misslei";"feira"
"PIX QRS LOJA ELECTR17/05";"eletrolux"
"PIX QRS PORTOSEG SA18/05";"portoseguro"
"SAQUE 24H 821097573";"saque"
"ELECTRONARENA NOVO";"quadra"
"ELECTRONPAG*Rosilen";"feira"
"ELECTRONCARREFOUR B";"mercado"
"PIX TRANSF  IMW 3 R20/05";"igreja"
"ELECTRONPAG*LuizaDe";"alimentacao"
"ELECTRONORIEL PEREI";"feira-frutas"
"ELECTRONPG *TON FEI";"feira"
"ELECTRONTHIEMI HORT";"feira-ovos"
"INT SIMPLES NACIONA 0708";"boleto"
"FINANC IMOBILIARIO   014";"financiamento"
"PIX QRS SHPP B I P 24/05";"pix web"
"PIX QRS Pizzaria No26/05";"alimentacao"
"ELECTRONS L BENFICA";"alimentacao"
"PIX TRANSF  ALINE B29/05";"pessoa"
"CXE 000836 SAQUE 27/05";"saque"
"TAR PACOTE ITAU   MAI/23";"banco"
"PIX TRANSF  Mayara 02/06";"pipoca"
"PIX TRANSF  erlonds02/06";"cabeleireiro"
"PIX TRANSF  ROGERIO05/06";"pipoca"
"PIX TRANSF  JULIANE03/06";"pessoa"
"PIX TRANSF  IMW 3 R04/06";"igreja"
"PIX TRANSF  Cristia04/06";"pessoa"
"PIX TRANSF  PIZZARI03/06";"alimentacao"
